Pos,Live Pos,Player,Points,Live Points
1,1,Judd Trump,1370000,1376000
2,2,Mark Selby,1246000,1246000
3,3,Ronnie O'Sullivan,861000,864000
4,4,Neil Robertson,785500,785500
5,5,Shaun Murphy,643500,649500
6,6,Kyren Wilson,611000,619000
7,7,John Higgins,418000,420000
8,8,Ding Junhui,376750,376750
9,9,Stephen Maguire,367000,367000
10,10,Yan Bingtao,314000,320000
12,11,Mark Allen,302000,310000
11,12,Mark Williams,306250,308250
13,13,Barry Hawkins,292750,296750
15,14,Stuart Bingham,281000,287000
14,15,Jack Lisowski,281250,281250
16,16,Anthony McGill,257000,257000
17,17,Zhou Yuelong,207750,207750
18,18,Graeme Dott,199250,204250
19,19,Thepchaiya Un-Nooh,188000,190000
20,20,Joe Perry,187500,189500
22,21,Tom Ford,163250,171250
23,22,David Gilbert,162500,170500
21,23,Kurt Maflin,169000,169000
24,24,Ali Carter,156000,164000
25,25,Martin Gould,151250,152250
26,26,Zhao Xintong,149750,151750
28,27,Ryan Day,141250,149250
27,28,Liang Wenbo,142500,142500
30,29,Matthew Selt,136750,141750
29,30,Xiao Guodong,139000,139000
31,31,Michael Holt,136000,138000
32,32,Ricky Walden,129250,135250
33,33,Gary Wilson,124000,125000
34,34,Scott Donaldson,121750,121750
35,35,Lu Ning,116250,116250
36,36,Matthew Stevens,109750,114750
37,37,Robert Milkins,109500,109500
38,38,Li Hang,108500,108500
39,39,Luca Brecel,103500,104500
40,40,Jordan Brown,101000,103000
44,41,Noppon Saengkham,97500,102500
45,42,Alexander Ursenbacher,97250,102250
42,43,Mark Joyce,98750,101750
43,44,Liam Highfield,98000,100000
41,45,Hossein Vafaei,100000,100000
46,46,Ben Woollaston,96250,98250
47,47,Stuart Carrington,93750,97750
49,48,Mark Davis,91000,95000
48,49,Martin O'Donnell,92250,92250
50,50,Sam Craigie,88500,90500
52,51,Mark King,87500,89500
51,52,Elliot Slessor,88500,88500
54,53,Anthony Hamilton,85750,87750
55,54,Jamie Jones,85500,87500
57,55,Sunny Akani,85000,87000
56,56,Andrew Higginson,85250,86250
53,57,Lyu Haotian,86250,86250
59,58,David Grace,83750,85750
58,59,Tian Pengfei,83750,83750
60,60,Chris Wakelin,79250,79250
63,61,Jimmy Robertson,74000,79000
61,62,Dominic Dale,77250,78250
62,63,Joe O'Connor,76250,77250
64,64,Nigel Bond,71750,72750
65,65,Jak Jones,53500,54500
66,66,Pang Junxu,50000,52000
67,67,Jamie Clarke,43000,44000
68,68,Robbie Williams,36500,37500
72,69,Oliver Lines,25500,31500
69,70,Steven Hallworth,27500,29500
70,71,Ashley Carty,27000,29000
71,72,Simon Lichtenberg,26500,28500
74,73,Ken Doherty,21500,25500
73,74,Zhao Jianbo,21500,23500
76,75,Fergal O'Brien,17000,21000
75,76,Gao Yang,19000,20000
81,77,Ashley Hugill,13500,17500
77,78,Rory McLeod,15500,17500
78,79,Allan Taylor,15500,17500
79,80,Aaron Hill,15000,16000
82,81,Peter Devlin,13500,15500
80,82,Lukas Kleckers,14000,15000
83,83,Jamie Wilson,12000,12000
84,84,Ben Hancorn,10000,11000
85,85,Lee Walker,9500,10500
87,86,Zak Surety,9500,10500
86,87,Fan Zhengyi,9500,9500
122,88,Cao Yupeng,0,8000
92,89,Chang Bingyu,0,6000
89,90,Farakh Ajaib,4500,5500
112,91,Craig Steadman,0,5000
100,92,Peter Lines,0,5000
88,93,Stephen Hendry,5000,5000
97,94,Gerard Greene,0,4000
90,95,Iulian Boiko,3000,3000
94,96,Louis Heathcote,0,2000
102,97,Mitchell Mann,0,2000
91,98,Sean Maddocks,2000,2000
107,99,Jackson Page,0,2000
108,100,Yuan SiJun,0,2000
106,101,Jimmy White,0,1000
109,102,Barry Pinches,0,1000
118,103,Zhang Jiankang,0,1000
95,104,Ian Burns,0,1000
99,105,Duane Jones,0,1000
98,106,Chen Zifan,0,0
101,107,Andy Hicks,0,0
104,108,Fraser Patrick,0,0
116,109,Andrew Pagett,0,0
93,110,Igor Figueiredo,0,0
110,111,Dean  Young,0,0
111,112,Reanne Evans,0,0
113,113,Alfie Burden,0,0
115,114,Hammad Miah,0,0
120,115,Michael Judge,0,0
121,116,Ng On Yee,0,0
96,117,Xu Si,0,0
103,118,Lei Peifan,0,0
105,119,Jamie O'Neill,0,0
114,120,Wu Yize,0,0
117,121,Zhang Anda,0,0
119,122,Marco Fu,0,0
